name,a,elements,crystal_system,point_group,formula,plane,num_elements
SrIr2 (111),10.90504608770918,"Ir, Sr",Cubic,m-3m,SrIr2,(111),2
SrLaHg2 (111),11.091677195966355,"Hg, La, Sr",Cubic,m-3m,SrLaHg2,(111),3
SrLi2Pb (111),10.222304455729798,"Li, Pb, Sr",Cubic,m-3m,SrLi2Pb,(111),3
SrLi2Sn (111),10.12373215822893,"Li, Sn, Sr",Cubic,m-3m,SrLi2Sn,(111),3
SrLiP (0001),4.371296412853743,"Li, P, Sr",Hexagonal,6/mmm,SrLiP,(0001),3
SrMg2 (0001),6.506770310202521,"Mg, Sr",Hexagonal,6/mmm,SrMg2,(0001),2
SrMg2N2 (0001),3.643606278262022,"Mg, N, Sr",Trigonal,-3m,SrMg2N2,(0001),3
SrMgTl2 (111),10.871414225586339,"Mg, Sr, Tl",Cubic,m-3m,SrMgTl2,(111),3
SrNi2Ge (0001),4.087772780765009,"Ge, Ni, Sr",Hexagonal,6/mmm,SrNi2Ge,(0001),3
SrNi3Ge2 (0001),4.018952912151999,"Ge, Ni, Sr",Hexagonal,6/mmm,SrNi3Ge2,(0001),3
SrNi9P5 (0001),6.453817779024408,"Ni, P, Sr",Hexagonal,6/mmm,SrNi9P5,(0001),3
SrNiF6 (0001),7.104261856923836,"F, Ni, Sr",Trigonal,-3m,SrNiF6,(0001),3
SrO (111),7.308046698272298,"O, Sr",Cubic,m-3m,SrO,(111),2
SrP (0001),8.085539876375353,"P, Sr",Hexagonal,-6m2,SrP,(0001),2
SrPAu (0001),4.344321735099167,"Au, P, Sr",Hexagonal,6/mmm,SrPAu,(0001),3
SrPIr (111),8.978162971859756,"Ir, P, Sr",Cubic,23,SrPIr,(111),3
SrPPt (0001),4.105179843748311,"P, Pt, Sr",Hexagonal,-6m2,SrPPt,(0001),3
SrPb3 (111),7.07788752207281,"Pb, Sr",Cubic,m-3m,SrPb3,(111),2
SrPd2 (111),11.131628113728885,"Pd, Sr",Cubic,m-3m,SrPd2,(111),2
SrPd3O4 (111),8.27267484294816,"O, Pd, Sr",Cubic,m-3m,SrPd3O4,(111),3
SrPd5 (0001),5.427307114435475,"Pd, Sr",Hexagonal,6/mmm,SrPd5,(0001),2
SrPmPt2 (111),10.180871760160342,"Pm, Pt, Sr",Cubic,m-3m,SrPmPt2,(111),3
SrPt2 (111),11.074067678049923,"Pt, Sr",Cubic,m-3m,SrPt2,(111),2
SrPt3O4 (111),8.319410749812079,"O, Pt, Sr",Cubic,m-3m,SrPt3O4,(111),3
SrPt5 (0001),5.453203710983601,"Pt, Sr",Hexagonal,6/mmm,SrPt5,(0001),2
