name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
Ac (0001),4.0460407673180745,7.007948178489871,Ac,Hexagonal,6/mmm,Ac,(0001),1
Ac (1-100),4.0460407673180745,13.01703648,Ac,Hexagonal,6/mmm,Ac,(1-100),1
Ac (1-102),4.0460407673180745,14.783591457898527,Ac,Hexagonal,6/mmm,Ac,(1-102),1
Ac (11-20),7.007948178489871,13.01703648,Ac,Hexagonal,6/mmm,Ac,(11-20),1
Ac2AgPb (100),8.13445864,8.13445864,"Ac, Ag, Pb",Cubic,m-3m,Ac2AgPb,(100),3
Ac2AgPb (110),8.13445864,11.503861731251003,"Ac, Ag, Pb",Cubic,m-3m,Ac2AgPb,(110),3
Ac2CdHg (100),8.10431394,8.10431394,"Ac, Cd, Hg",Cubic,m-3m,Ac2CdHg,(100),3
Ac2CdHg (110),8.10431394,11.461230687677336,"Ac, Cd, Hg",Cubic,m-3m,Ac2CdHg,(110),3
Ac2CuGe (100),7.6965314000000005,7.6965314000000005,"Ac, Cu, Ge",Cubic,m-3m,Ac2CuGe,(100),3
Ac2CuGe (110),7.6965314000000005,10.884539089110387,"Ac, Cu, Ge",Cubic,m-3m,Ac2CuGe,(110),3
Ac2CuIr (100),7.46730694,7.46730694,"Ac, Cu, Ir",Cubic,m-3m,Ac2CuIr,(100),3
Ac2CuIr (110),7.46730694,10.560366748950736,"Ac, Cu, Ir",Cubic,m-3m,Ac2CuIr,(110),3
Ac2GePd (100),7.715736480782106,7.715736480782106,"Ac, Ge, Pd",Cubic,m-3m,Ac2GePd,(100),3
Ac2GePd (110),7.715736480782106,10.91169917481891,"Ac, Ge, Pd",Cubic,m-3m,Ac2GePd,(110),3
Ac2HgGe (100),7.934214966680475,7.934214966680475,"Ac, Ge, Hg",Cubic,m-3m,Ac2HgGe,(100),3
Ac2HgGe (110),7.934214966680475,11.220674412663124,"Ac, Ge, Hg",Cubic,m-3m,Ac2HgGe,(110),3
Ac2InGa (100),8.05457992,8.05457992,"Ac, Ga, In",Cubic,m-3m,Ac2InGa,(100),3
Ac2InGa (110),8.05457992,11.390896162081999,"Ac, Ga, In",Cubic,m-3m,Ac2InGa,(110),3
Ac2IrAu (100),7.589598130000762,7.589598130000762,"Ac, Au, Ir",Cubic,m-3m,Ac2IrAu,(100),3
Ac2IrAu (110),7.589598130000762,10.733312608408559,"Ac, Au, Ir",Cubic,m-3m,Ac2IrAu,(110),3
Ac2IrPd (100),7.4837685,7.4837685,"Ac, Ir, Pd",Cubic,m-3m,Ac2IrPd,(100),3
Ac2IrPd (110),7.4837685,10.583646910360555,"Ac, Ir, Pd",Cubic,m-3m,Ac2IrPd,(110),3
Ac2IrRh (100),7.402598739999999,7.402598739999999,"Ac, Ir, Rh",Cubic,m-3m,Ac2IrRh,(100),3
Ac2IrRh (110),7.402598739999999,10.468855534913985,"Ac, Ir, Rh",Cubic,m-3m,Ac2IrRh,(110),3
Ac2MgGa (100),8.02045578,8.02045578,"Ac, Ga, Mg",Cubic,m-3m,Ac2MgGa,(100),3
Ac2MgGa (110),8.02045578,11.342637340489683,"Ac, Ga, Mg",Cubic,m-3m,Ac2MgGa,(110),3
Ac2MgPb (100),8.27160302,8.27160302,"Ac, Mg, Pb",Cubic,m-3m,Ac2MgPb,(100),3
Ac2MgPb (110),8.27160302,11.697813173450253,"Ac, Mg, Pb",Cubic,m-3m,Ac2MgPb,(110),3
Ac2MgSn (100),8.20528348,8.20528348,"Ac, Mg, Sn",Cubic,m-3m,Ac2MgSn,(100),3
Ac2MgSn (110),8.20528348,11.604023180531907,"Ac, Mg, Sn",Cubic,m-3m,Ac2MgSn,(110),3
Ac2MgTl (100),8.24674908,8.24674908,"Ac, Mg, Tl",Cubic,m-3m,Ac2MgTl,(100),3
Ac2MgTl (110),8.24674908,11.662664394423846,"Ac, Mg, Tl",Cubic,m-3m,Ac2MgTl,(110),3
Ac2NiIr (100),7.3761946134693686,7.3761946134693686,"Ac, Ir, Ni",Cubic,m-3m,Ac2NiIr,(100),3
Ac2NiIr (110),7.3761946134693686,10.431514461071751,"Ac, Ir, Ni",Cubic,m-3m,Ac2NiIr,(110),3
Ac2O3 (0001),4.095488002164615,7.093593301537869,"Ac, O",Trigonal,-3m,Ac2O3,(0001),2
Ac2O3 (1-100),4.095488002164615,6.29988201,"Ac, O",Trigonal,-3m,Ac2O3,(1-100),2
Ac2O3 (11-20),6.29988201,7.093593301537869,"Ac, O",Trigonal,-3m,Ac2O3,(11-20),2
Ac2S3 (001),9.08423272,9.08423272,"Ac, S",Tetragonal,-42m,Ac2S3,(001),2
Ac2TlCd (100),8.20856164,8.20856164,"Ac, Cd, Tl",Cubic,m-3m,Ac2TlCd,(100),3
Ac2TlCd (110),8.20856164,11.608659198863535,"Ac, Cd, Tl",Cubic,m-3m,Ac2TlCd,(110),3
Ac2TlIn (100),8.23670804,8.23670804,"Ac, In, Tl",Cubic,m-3m,Ac2TlIn,(100),3
Ac2TlIn (110),8.23670804,11.648464219475514,"Ac, In, Tl",Cubic,m-3m,Ac2TlIn,(110),3
Ac2TlSn (100),8.22471996,8.22471996,"Ac, Sn, Tl",Cubic,m-3m,Ac2TlSn,(100),3
Ac2TlSn (110),8.22471996,11.6315105141527,"Ac, Sn, Tl",Cubic,m-3m,Ac2TlSn,(110),3
Ac2ZnGe (100),7.7841526,7.7841526,"Ac, Ge, Zn",Cubic,m-3m,Ac2ZnGe,(100),3
Ac2ZnGe (110),7.7841526,11.00845417850179,"Ac, Ge, Zn",Cubic,m-3m,Ac2ZnGe,(110),3
Ac2ZnHg (100),7.95424576,7.95424576,"Ac, Hg, Zn",Cubic,m-3m,Ac2ZnHg,(100),3
Ac2ZnHg (110),7.95424576,11.249002232240688,"Ac, Hg, Zn",Cubic,m-3m,Ac2ZnHg,(110),3
Ac2ZnIn (100),8.05460754,8.05460754,"Ac, In, Zn",Cubic,m-3m,Ac2ZnIn,(100),3
Ac2ZnIn (110),8.05460754,11.390935222660591,"Ac, In, Zn",Cubic,m-3m,Ac2ZnIn,(110),3
Ac3In (0001),7.726781862587199,13.383178765002711,"Ac, In",Hexagonal,6/mmm,Ac3In,(0001),2
Ac3In (1-100),5.980658500000092,7.726781862587199,"Ac, In",Hexagonal,6/mmm,Ac3In,(1-100),2
Ac3In (1-102),7.726781862587199,14.658709013744792,"Ac, In",Hexagonal,6/mmm,Ac3In,(1-102),2
Ac3In (11-20),5.980658500000092,13.383178765002711,"Ac, In",Hexagonal,6/mmm,Ac3In,(11-20),2
Ac3Tl (0001),7.764830470678914,13.449080887374839,"Ac, Tl",Hexagonal,6/mmm,Ac3Tl,(0001),2
Ac3Tl (1-100),5.9221661,7.764830470678914,"Ac, Tl",Hexagonal,6/mmm,Ac3Tl,(1-100),2
Ac3Tl (1-102),7.764830470678914,14.69523147252674,"Ac, Tl",Hexagonal,6/mmm,Ac3Tl,(1-102),2
Ac3Tl (11-20),5.9221661,13.449080887374839,"Ac, Tl",Hexagonal,6/mmm,Ac3Tl,(11-20),2
AcAg (100),3.9478517399999995,3.9478517399999995,"Ac, Ag",Cubic,m-3m,AcAg,(100),2
AcAg (110),3.9478517399999995,5.5831054729462215,"Ac, Ag",Cubic,m-3m,AcAg,(110),2
AcAg (111),5.5831054729462215,9.670222343158722,"Ac, Ag",Cubic,m-3m,AcAg,(111),2
AcAg2Pb (100),7.47494186,7.47494186,"Ac, Ag, Pb",Cubic,m-3m,AcAg2Pb,(100),3
AcAg2Pb (110),7.47494186,10.57116415636237,"Ac, Ag, Pb",Cubic,m-3m,AcAg2Pb,(110),3
AcAg3 (0001),6.957286091405646,12.050372993106865,"Ac, Ag",Hexagonal,6/mmm,AcAg3,(0001),2
AcAg3 (1-100),4.749345700000226,6.957286091405646,"Ac, Ag",Hexagonal,6/mmm,AcAg3,(1-100),2
AcAg3 (1-102),6.957286091405646,12.952519980726143,"Ac, Ag",Hexagonal,6/mmm,AcAg3,(1-102),2
AcAg3 (11-20),4.749345700000226,12.050372993106865,"Ac, Ag",Hexagonal,6/mmm,AcAg3,(11-20),2
AcAl3 (0001),6.980687244195969,12.090904978695388,"Ac, Al",Hexagonal,6/mmm,AcAl3,(0001),2
AcAl3 (1-100),4.6515836,6.980687244195969,"Ac, Al",Hexagonal,6/mmm,AcAl3,(1-100),2
AcAl3 (1-102),6.980687244195969,12.954814286265547,"Ac, Al",Hexagonal,6/mmm,AcAl3,(1-102),2
AcAl3 (11-20),4.6515836,12.090904978695388,"Ac, Al",Hexagonal,6/mmm,AcAl3,(11-20),2
AcAlO3 (100),3.85863387,3.85863387,"Ac, Al, O",Cubic,m-3m,AcAlO3,(100),3
AcAlO3 (110),3.85863387,5.4569323511861825,"Ac, Al, O",Cubic,m-3m,AcAlO3,(110),3
AcAlO3 (111),5.4569323511861825,9.451684085720759,"Ac, Al, O",Cubic,m-3m,AcAlO3,(111),3
AcAu3 (0001),6.92286701560859,11.9907574050768,"Ac, Au",Hexagonal,6/mmm,AcAu3,(0001),2
AcAu3 (1-100),4.689735190005689,6.92286701560859,"Ac, Au",Hexagonal,6/mmm,AcAu3,(1-100),2
AcAu3 (1-102),6.92286701560859,12.875242883137462,"Ac, Au",Hexagonal,6/mmm,AcAu3,(1-102),2
AcAu3 (11-20),4.689735190005689,11.9907574050768,"Ac, Au",Hexagonal,6/mmm,AcAu3,(11-20),2
AcBr3 (0001),8.168264033291734,14.147848315298763,"Ac, Br",Hexagonal,6/m,AcBr3,(0001),2
AcBr3 (1-100),4.72345121,8.168264033291734,"Ac, Br",Hexagonal,6/m,AcBr3,(1-100),2
AcBr3 (1-102),8.168264033291734,14.915515521964117,"Ac, Br",Hexagonal,6/m,AcBr3,(1-102),2
AcBr3 (11-20),4.72345121,14.147848315298763,"Ac, Br",Hexagonal,6/m,AcBr3,(11-20),2
AcBrO (001),4.31037031,4.31037031,"Ac, Br, O",Tetragonal,4/mmm,AcBrO,(001),3
AcBrO (100),4.31037031,7.54277441,"Ac, Br, O",Tetragonal,4/mmm,AcBrO,(100),3
AcBrO (101),4.31037031,8.687504705580327,"Ac, Br, O",Tetragonal,4/mmm,AcBrO,(101),3
AcBrO (110),6.095784151252322,7.54277441,"Ac, Br, O",Tetragonal,4/mmm,AcBrO,(110),3
AcCdHg2 (100),7.58045464,7.58045464,"Ac, Cd, Hg",Cubic,m-3m,AcCdHg2,(100),3
AcCdHg2 (110),7.58045464,10.72038176084206,"Ac, Cd, Hg",Cubic,m-3m,AcCdHg2,(110),3
AcCdRh2 (100),6.90269564,6.90269564,"Ac, Cd, Rh",Cubic,m-3m,AcCdRh2,(100),3
AcCdRh2 (110),6.90269564,9.761885791021632,"Ac, Cd, Rh",Cubic,m-3m,AcCdRh2,(110),3
AcCl3 (0001),7.695635518178531,13.32923171401686,"Ac, Cl",Hexagonal,6/m,AcCl3,(0001),2
AcCl3 (1-100),4.56900298,7.695635518178531,"Ac, Cl",Hexagonal,6/m,AcCl3,(1-100),2
AcCl3 (1-102),7.695635518178531,14.090571539763804,"Ac, Cl",Hexagonal,6/m,AcCl3,(1-102),2
AcCl3 (11-20),4.56900298,13.32923171401686,"Ac, Cl",Hexagonal,6/m,AcCl3,(11-20),2
AcCrO3 (100),3.944286886666667,3.944286886666667,"Ac, Cr, O",Cubic,m-3m,AcCrO3,(100),3
AcCrO3 (110),3.944286886666667,5.578064009014352,"Ac, Cr, O",Cubic,m-3m,AcCrO3,(110),3
AcCrO3 (111),5.578064009014352,9.661490271484197,"Ac, Cr, O",Cubic,m-3m,AcCrO3,(111),3
AcCu3 (0001),6.632735311975549,11.488234553497858,"Ac, Cu",Hexagonal,6/mmm,AcCu3,(0001),2
AcCu3 (1-100),4.24688587,6.632735311975549,"Ac, Cu",Hexagonal,6/mmm,AcCu3,(1-100),2
AcCu3 (1-102),6.632735311975549,12.248084452231206,"Ac, Cu",Hexagonal,6/mmm,AcCu3,(1-102),2
AcCu3 (11-20),4.24688587,11.488234553497858,"Ac, Cu",Hexagonal,6/mmm,AcCu3,(11-20),2
AcCuO3 (100),3.91333125,3.91333125,"Ac, Cu, O",Cubic,m-3m,AcCuO3,(100),3
AcCuO3 (110),3.91333125,5.534286127808458,"Ac, Cu, O",Cubic,m-3m,AcCuO3,(110),3
AcCuO3 (111),5.534286127808458,9.585664756987875,"Ac, Cu, O",Cubic,m-3m,AcCuO3,(111),3
AcEuAu2 (100),7.63485236,7.63485236,"Ac, Au, Eu",Cubic,m-3m,AcEuAu2,(100),3
AcEuAu2 (110),7.63485236,10.797311754228232,"Ac, Au, Eu",Cubic,m-3m,AcEuAu2,(110),3
AcEuZn2 (100),7.670372060000001,7.670372060000001,"Ac, Eu, Zn",Cubic,m-3m,AcEuZn2,(100),3
AcEuZn2 (110),7.670372060000001,10.847544195699658,"Ac, Eu, Zn",Cubic,m-3m,AcEuZn2,(110),3
AcF3 (001),3.98400972,3.98400972,"Ac, F",Tetragonal,4/mmm,AcF3,(001),2
AcF3 (100),3.98400972,6.75731988,"Ac, F",Tetragonal,4/mmm,AcF3,(100),2
AcF3 (101),3.98400972,7.844342254752637,"Ac, F",Tetragonal,4/mmm,AcF3,(101),2
AcF3 (110),5.634240578650237,6.75731988,"Ac, F",Tetragonal,4/mmm,AcF3,(110),2
AcFeO3 (100),3.953573876667525,3.953573876667525,"Ac, Fe, O",Cubic,m-3m,AcFeO3,(100),3
AcFeO3 (110),3.953573876667525,5.591197796227188,"Ac, Fe, O",Cubic,m-3m,AcFeO3,(110),3
AcFeO3 (111),5.591197796227188,9.684238658232628,"Ac, Fe, O",Cubic,m-3m,AcFeO3,(111),3
AcGaO3 (100),3.94626209,3.94626209,"Ac, Ga, O",Cubic,m-3m,AcGaO3,(100),3
AcGaO3 (110),3.94626209,5.580857368356796,"Ac, Ga, O",Cubic,m-3m,AcGaO3,(110),3
AcGaO3 (111),5.580857368356796,9.666328511789107,"Ac, Ga, O",Cubic,m-3m,AcGaO3,(111),3
AcGe3 (0001),6.648437158518677,11.515430949483205,"Ac, Ge",Hexagonal,6/mmm,AcGe3,(0001),2
AcGe3 (1-100),4.911703350055942,6.648437158518677,"Ac, Ge",Hexagonal,6/mmm,AcGe3,(1-100),2
AcGe3 (1-102),6.648437158518677,12.519184468297704,"Ac, Ge",Hexagonal,6/mmm,AcGe3,(1-102),2
AcGe3 (11-20),4.911703350055942,11.515430949483205,"Ac, Ge",Hexagonal,6/mmm,AcGe3,(11-20),2
AcH2 (100),5.916410332527888,5.916410332527888,"Ac, H",Cubic,m-3m,AcH2,(100),2
AcH2 (110),5.916410332527888,8.367067732825253,"Ac, H",Cubic,m-3m,AcH2,(110),2
AcH2 (111),8.367067732825253,14.492186423623474,"Ac, H",Cubic,m-3m,AcH2,(111),2
AcH3 (100),5.81138138,5.81138138,"Ac, H",Cubic,m-3m,AcH3,(100),2
AcH3 (110),5.81138138,8.218534363718474,"Ac, H",Cubic,m-3m,AcH3,(110),2
AcH3 (111),8.218534363718474,14.234919081711151,"Ac, H",Cubic,m-3m,AcH3,(111),2
AcHg3 (0001),7.129526320710439,12.348701821370081,"Ac, Hg",Hexagonal,6/mmm,AcHg3,(0001),2
AcHg3 (1-100),5.08715551,7.129526320710439,"Ac, Hg",Hexagonal,6/mmm,AcHg3,(1-100),2
AcHg3 (1-102),7.129526320710439,13.355507772302486,"Ac, Hg",Hexagonal,6/mmm,AcHg3,(1-102),2
AcHg3 (11-20),5.08715551,12.348701821370081,"Ac, Hg",Hexagonal,6/mmm,AcHg3,(11-20),2
AcHgRh2 (100),6.906333059999999,6.906333059999999,"Ac, Hg, Rh",Cubic,m-3m,AcHgRh2,(100),3
AcHgRh2 (110),6.906333059999999,9.767029879717677,"Ac, Hg, Rh",Cubic,m-3m,AcHgRh2,(110),3
AcI3 (1-100),4.41444,11.036219916455426,"Ac, I",Hexagonal,6/mmm,AcI3,(1-100),2
AcIn3 (0001),7.235348744118,12.531991635292044,"Ac, In",Hexagonal,6/mmm,AcIn3,(0001),2
AcIn3 (1-100),5.15803022,7.235348744118,"Ac, In",Hexagonal,6/mmm,AcIn3,(1-100),2
AcIn3 (1-102),7.235348744118,13.55197735009408,"Ac, In",Hexagonal,6/mmm,AcIn3,(1-102),2
AcIn3 (11-20),5.15803022,12.531991635292044,"Ac, In",Hexagonal,6/mmm,AcIn3,(11-20),2
AcInHg2 (100),7.64003825333445,7.64003825333445,"Ac, Hg, In",Cubic,m-3m,AcInHg2,(100),3
AcInHg2 (110),7.64003825333445,10.804645714914832,"Ac, Hg, In",Cubic,m-3m,AcInHg2,(110),3
AcLaCd2 (100),8.00566568,8.00566568,"Ac, Cd, La",Cubic,m-3m,AcLaCd2,(100),3
AcLaCd2 (110),8.00566568,11.321720980480826,"Ac, Cd, La",Cubic,m-3m,AcLaCd2,(110),3
AcMg (100),4.128927922697238,4.128927922697238,"Ac, Mg",Cubic,m-3m,AcMg,(100),2
AcMg (110),4.128927922697238,5.839185866339404,"Ac, Mg",Cubic,m-3m,AcMg,(110),2
AcMg (111),5.839185866339404,10.113766595337939,"Ac, Mg",Cubic,m-3m,AcMg,(111),2
AcMg5 (0001),6.170180370311531,10.687065893243721,"Ac, Mg",Hexagonal,6/mmm,AcMg5,(0001),2
AcMg5 (1-100),4.96799329,6.170180370311531,"Ac, Mg",Hexagonal,6/mmm,AcMg5,(1-100),2
AcMg5 (1-102),6.170180370311531,11.785344065237053,"Ac, Mg",Hexagonal,6/mmm,AcMg5,(1-102),2
AcMg5 (11-20),4.96799329,10.687065893243721,"Ac, Mg",Hexagonal,6/mmm,AcMg5,(11-20),2
AcMgCd2 (100),7.62843718,7.62843718,"Ac, Cd, Mg",Cubic,m-3m,AcMgCd2,(100),3
AcMgCd2 (110),7.62843718,10.788239319667168,"Ac, Cd, Mg",Cubic,m-3m,AcMgCd2,(110),3
AcMgHg2 (100),7.59173314,7.59173314,"Ac, Hg, Mg",Cubic,m-3m,AcMgHg2,(100),3
AcMgHg2 (110),7.59173314,10.736331968505283,"Ac, Hg, Mg",Cubic,m-3m,AcMgHg2,(110),3
AcMgTl2 (100),7.80337972,7.80337972,"Ac, Mg, Tl",Cubic,m-3m,AcMgTl2,(100),3
AcMgTl2 (110),7.80337972,11.035645432371165,"Ac, Mg, Tl",Cubic,m-3m,AcMgTl2,(110),3
AcMgZn2 (100),7.28587502,7.28587502,"Ac, Mg, Zn",Cubic,m-3m,AcMgZn2,(100),3
AcMgZn2 (110),7.28587502,10.303783267039346,"Ac, Mg, Zn",Cubic,m-3m,AcMgZn2,(110),3
AcMnO3 (100),3.963021680000001,3.963021680000001,"Ac, Mn, O",Cubic,m-3m,AcMnO3,(100),3
AcMnO3 (110),3.963021680000001,5.6045590078346095,"Ac, Mn, O",Cubic,m-3m,AcMnO3,(110),3
AcMnO3 (111),5.6045590078346095,9.707380955587361,"Ac, Mn, O",Cubic,m-3m,AcMnO3,(111),3
AcN (0001),4.280277110979795,7.413657426691135,"Ac, N",Hexagonal,6mm,AcN,(0001),2
AcN (1-100),4.280277110979795,6.295135370000202,"Ac, N",Hexagonal,6mm,AcN,(1-100),2
AcN (1-102),4.280277110979795,9.725792809172948,"Ac, N",Hexagonal,6mm,AcN,(1-102),2
AcN (11-20),6.295135370000202,7.413657426691135,"Ac, N",Hexagonal,6mm,AcN,(11-20),2
AcNiO3 (100),3.8788293533333333,3.8788293533333333,"Ac, Ni, O",Cubic,m-3m,AcNiO3,(100),3
AcNiO3 (110),3.8788293533333333,5.485493077614862,"Ac, Ni, O",Cubic,m-3m,AcNiO3,(110),3
AcNiO3 (111),5.485493077614862,9.501152714996307,"Ac, Ni, O",Cubic,m-3m,AcNiO3,(111),3
AcOF (100),5.947453499538033,5.947453499538033,"Ac, F, O",Cubic,-43m,AcOF,(100),3
AcOF (110),5.947453499538033,8.410969400630012,"Ac, F, O",Cubic,-43m,AcOF,(110),3
AcOF (111),8.410969400630012,14.568226342798328,"Ac, F, O",Cubic,-43m,AcOF,(111),3
AcPbAu2 (100),7.476903959999999,7.476903959999999,"Ac, Au, Pb",Cubic,m-3m,AcPbAu2,(100),3
AcPbAu2 (110),7.476903959999999,10.5739389847931,"Ac, Au, Pb",Cubic,m-3m,AcPbAu2,(110),3
AcTiO3 (100),3.995820010000001,3.995820010000001,"Ac, O, Ti",Cubic,m-3m,AcTiO3,(100),3
AcTiO3 (110),3.995820010000001,5.650942850943798,"Ac, O, Ti",Cubic,m-3m,AcTiO3,(110),3
AcTiO3 (111),5.650942850943798,9.787720128502778,"Ac, O, Ti",Cubic,m-3m,AcTiO3,(111),3
AcTlAg2 (100),7.4295739,7.4295739,"Ac, Ag, Tl",Cubic,m-3m,AcTlAg2,(100),3
AcTlAg2 (110),7.4295739,10.50700417203317,"Ac, Ag, Tl",Cubic,m-3m,AcTlAg2,(110),3
AcTlAu2 (100),7.4624432,7.4624432,"Ac, Au, Tl",Cubic,m-3m,AcTlAu2,(100),3
AcTlAu2 (110),7.4624432,10.55348838187888,"Ac, Au, Tl",Cubic,m-3m,AcTlAu2,(110),3
AcTlHg2 (100),7.70395756,7.70395756,"Ac, Hg, Tl",Cubic,m-3m,AcTlHg2,(100),3
AcTlHg2 (110),7.70395756,10.895041265298739,"Ac, Hg, Tl",Cubic,m-3m,AcTlHg2,(110),3
AcTlRh2 (100),6.98018548,6.98018548,"Ac, Rh, Tl",Cubic,m-3m,AcTlRh2,(100),3
AcTlRh2 (110),6.98018548,9.871472973695754,"Ac, Rh, Tl",Cubic,m-3m,AcTlRh2,(110),3
AcTlTe2 (100),8.14793804,8.14793804,"Ac, Te, Tl",Cubic,m-3m,AcTlTe2,(100),3
AcTlTe2 (110),8.14793804,11.522924481543654,"Ac, Te, Tl",Cubic,m-3m,AcTlTe2,(110),3
AcVO3 (100),3.967895373333333,3.967895373333333,"Ac, O, V",Cubic,m-3m,AcVO3,(100),3
AcVO3 (110),3.967895373333333,5.611451451045455,"Ac, O, V",Cubic,m-3m,AcVO3,(110),3
AcVO3 (111),5.611451451045455,9.719319017416828,"Ac, O, V",Cubic,m-3m,AcVO3,(111),3
AcYbHg2 (100),7.718266418200861,7.718266418200861,"Ac, Hg, Yb",Cubic,m-3m,AcYbHg2,(100),3
AcYbHg2 (110),7.718266418200861,10.91527704662847,"Ac, Hg, Yb",Cubic,m-3m,AcYbHg2,(110),3
AcYbTl2 (100),7.872012386142326,7.872012386142326,"Ac, Tl, Yb",Cubic,m-3m,AcYbTl2,(100),3
AcYbTl2 (110),7.872012386142326,11.132706679651468,"Ac, Tl, Yb",Cubic,m-3m,AcYbTl2,(110),3
Ag (0001),2.9111314732677247,5.042227619212538,Ag,Hexagonal,6/mmm,Ag,(0001),1
Ag (1-100),2.9111314732677247,9.46370874,Ag,Hexagonal,6/mmm,Ag,(1-100),1
Ag (1-102),2.9111314732677247,10.723145176649531,Ag,Hexagonal,6/mmm,Ag,(1-102),1
Ag (11-20),5.042227619212538,9.46370874,Ag,Hexagonal,6/mmm,Ag,(11-20),1
Ag(AuF4)2 (001),5.1754324420857145,10.97563797,"Ag, Au, F",Monoclinic,2/m,Ag(AuF4)2,(001),3
Ag(AuF4)2 (100),7.207007895025302,10.97563797,"Ag, Au, F",Monoclinic,2/m,Ag(AuF4)2,(100),3
Ag(BCl)6 (100),12.4300559,12.4300559,"Ag, B, Cl",Cubic,m-3,Ag(BCl)6,(100),3
Ag(TeMo)6 (100),4.58640283,9.544326971960231,"Ag, Mo, Te",Monoclinic,2/m,Ag(TeMo)6,(100),3
Ag2B8O13 (001),6.555184749415362,8.69355078,"Ag, B, O",Monoclinic,2/m,Ag2B8O13,(001),3
Ag2BiO3 (001),6.063332579999999,6.2857069,"Ag, Bi, O",Orthorhombic,mm2,Ag2BiO3,(001),3
Ag2BiO3 (010),6.063332579999999,9.61819304,"Ag, Bi, O",Orthorhombic,mm2,Ag2BiO3,(010),3
Ag2BiO3 (100),6.2857069,9.61819304,"Ag, Bi, O",Orthorhombic,mm2,Ag2BiO3,(100),3
Ag2BiO3 (011),6.063332579999999,11.489984707884169,"Ag, Bi, O",Orthorhombic,mm2,Ag2BiO3,(011),3
Ag2BiO3 (101),6.2857069,11.369856609931098,"Ag, Bi, O",Orthorhombic,mm2,Ag2BiO3,(101),3
Ag2BiO3 (110),8.733505207440885,9.61819304,"Ag, Bi, O",Orthorhombic,mm2,Ag2BiO3,(110),3
Ag2Br3 (0001),6.939375631782264,12.019351167052257,"Ag, Br",Trigonal,-3m,Ag2Br3,(0001),2
Ag2CO3 (001),3.1680866919450303,9.65844039,"Ag, C, O",Monoclinic,2/m,Ag2CO3,(001),3
Ag2CO3 (100),4.9152003959364805,9.65844039,"Ag, C, O",Monoclinic,2/m,Ag2CO3,(100),3
Ag2Cl3 (0001),6.61886056043685,11.464202778890437,"Ag, Cl",Trigonal,-3m,Ag2Cl3,(0001),2
Ag2F (0001),2.9951012633371192,5.187667561913622,"Ag, F",Trigonal,-3m,Ag2F,(0001),2
Ag2F (1-100),2.9951012633371192,5.72564215,"Ag, F",Trigonal,-3m,Ag2F,(1-100),2
Ag2F (11-20),5.187667561913622,5.72564215,"Ag, F",Trigonal,-3m,Ag2F,(11-20),2
Ag2GeS3 (001),7.0297482613351026,11.8236293657854,"Ag, Ge, S",Orthorhombic,mm2,Ag2GeS3,(001),3
Ag2GeS3 (010),6.44584315,7.0297482613351026,"Ag, Ge, S",Orthorhombic,mm2,Ag2GeS3,(010),3
Ag2GeS3 (100),6.44584315,11.8236293657854,"Ag, Ge, S",Orthorhombic,mm2,Ag2GeS3,(100),3
Ag2GeS3 (011),7.0297482613351026,13.466517935006985,"Ag, Ge, S",Orthorhombic,mm2,Ag2GeS3,(011),3
Ag2GeS3 (101),9.537623107050615,11.8236293657854,"Ag, Ge, S",Orthorhombic,mm2,Ag2GeS3,(101),3
Ag2GeS3 (110),6.44584315,13.755565128238343,"Ag, Ge, S",Orthorhombic,mm2,Ag2GeS3,(110),3
Ag2HgI4 (001),6.425899020000011,6.425899020000011,"Ag, Hg, I",Tetragonal,-4,Ag2HgI4,(001),3
Ag2HgI4 (100),6.425899020000011,12.91949644,"Ag, Hg, I",Tetragonal,-4,Ag2HgI4,(100),3
Ag2HgI4 (101),6.425899020000011,14.429330077256177,"Ag, Hg, I",Tetragonal,-4,Ag2HgI4,(101),3
Ag2HgI4 (110),9.087593544523996,12.91949644,"Ag, Hg, I",Tetragonal,-4,Ag2HgI4,(110),3
Ag2HgO2 (001),6.22383338,6.22383338,"Ag, Hg, O",Tetragonal,422,Ag2HgO2,(001),3
Ag2HgO2 (100),6.22383338,8.39465045,"Ag, Hg, O",Tetragonal,422,Ag2HgO2,(100),3
Ag2HgO2 (101),6.22383338,10.450179812792095,"Ag, Hg, O",Tetragonal,422,Ag2HgO2,(101),3
Ag2HgO2 (110),8.39465045,8.801829575946382,"Ag, Hg, O",Tetragonal,422,Ag2HgO2,(110),3
Ag2O (100),4.75399071,4.75399071,"Ag, O",Cubic,m-3m,Ag2O,(100),2
Ag2O (110),4.75399071,6.7231581374777,"Ag, O",Cubic,m-3m,Ag2O,(110),2
Ag2O (111),6.7231581374777,11.644851481431518,"Ag, O",Cubic,m-3m,Ag2O,(111),2
Ag2PSe3 (001),6.579371530000002,11.65986353,"Ag, P, Se",Orthorhombic,222,Ag2PSe3,(001),3
Ag2PSe3 (010),6.579371530000002,14.45464378,"Ag, P, Se",Orthorhombic,222,Ag2PSe3,(010),3
Ag2PSe3 (100),11.65986353,14.45464378,"Ag, P, Se",Orthorhombic,222,Ag2PSe3,(100),3
Ag2PSe3 (101),11.65986353,15.881588602418438,"Ag, P, Se",Orthorhombic,222,Ag2PSe3,(101),3
