name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
KBiO2 (100),5.974874986643817,7.887098501470007,"Bi, K, O",Monoclinic,2/m,KBiO2,(100),3
KBiO3 (100),10.06653795,10.06653795,"Bi, K, O",Cubic,m-3,KBiO3,(100),3
KBiO3 (110),10.06653795,14.236234495033456,"Bi, K, O",Cubic,m-3,KBiO3,(110),3
KBiPb (001),6.62381804,6.83640952,"Bi, K, Pb",Orthorhombic,mm2,KBiPb,(001),3
KBiPb (010),6.62381804,9.78921504,"Bi, K, Pb",Orthorhombic,mm2,KBiPb,(010),3
KBiPb (100),6.83640952,9.78921504,"Bi, K, Pb",Orthorhombic,mm2,KBiPb,(100),3
KBiPb (011),6.62381804,11.940068099659602,"Bi, K, Pb",Orthorhombic,mm2,KBiPb,(011),3
KBiPb (101),6.83640952,11.819631827023702,"Bi, K, Pb",Orthorhombic,mm2,KBiPb,(101),3
KBiPb (110),9.519005229128519,9.78921504,"Bi, K, Pb",Orthorhombic,mm2,KBiPb,(110),3
KBiS2 (0001),4.1259249580877935,7.146311655624548,"Bi, K, S",Trigonal,-3m,KBiS2,(0001),3
KBr (100),6.5890819395976505,6.5890819395976505,"Br, K",Cubic,m-3m,KBr,(100),2
KBr (110),6.5890819395976505,9.318369042566617,"Br, K",Cubic,m-3m,KBr,(110),2
KBr3 (0001),6.4123585143191715,11.106530743147687,"Br, K",Hexagonal,6/mmm,KBr3,(0001),2
KBr3 (1-100),6.4123585143191715,7.087037770053483,"Br, K",Hexagonal,6/mmm,KBr3,(1-100),2
KBr3 (1-102),6.4123585143191715,13.17501914619669,"Br, K",Hexagonal,6/mmm,KBr3,(1-102),2
KBr3 (11-20),7.087037770053483,11.106530743147687,"Br, K",Hexagonal,6/mmm,KBr3,(11-20),2
KBrF4 (001),6.139466169159194,6.139466169159194,"Br, F, K",Tetragonal,4/mmm,KBrF4,(001),3
KBrF4 (100),6.139466169159194,11.055481973212194,"Br, F, K",Tetragonal,4/mmm,KBrF4,(100),3
KBrF4 (101),6.139466169159194,12.645818538246942,"Br, F, K",Tetragonal,4/mmm,KBrF4,(101),3
KBrF4 (110),8.682516322155722,11.055481973212194,"Br, F, K",Tetragonal,4/mmm,KBrF4,(110),3
KBrO3 (0001),5.943277140641091,10.294057971053048,"Br, K, O",Trigonal,3m,KBrO3,(0001),3
KBrO3 (1-100),5.943277140641091,8.233972751427013,"Br, K, O",Trigonal,3m,KBrO3,(1-100),3
KBrO3 (11-20),8.233972751427013,10.294057971053048,"Br, K, O",Trigonal,3m,KBrO3,(11-20),3
KC2N3 (001),3.723385917219164,11.90809308,"C, K, N",Monoclinic,2/m,KC2N3,(001),3
