a,b,dimensions,mcia,angle,substrate,R,G,B,color_column
3.6199999999999997,15.358359287371812,(2/3 a × 2b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
15.358359287371812,3.6199999999999997,(2b × 2/3 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.6199999999999997,5.119453095790604,(2/3 a × 2/3 b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.119453095790604,3.6199999999999997,(2/3 b × 2/3 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.6199999999999997,3.0716718574743624,(2/3 a × 2/5 b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.0716718574743624,3.6199999999999997,(2/5 b × 2/3 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
16.29,7.679179643685906,(3a × b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,16.29,(b × 3a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
16.29,3.839589821842953,(3a × b/2),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,16.29,(b/2 × 3a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
8.145,7.679179643685906,(3/2 a × b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,8.145,(b × 3/2 a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
8.145,3.839589821842953,(3/2 a × b/2),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,8.145,(b/2 × 3/2 a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.0725,7.679179643685906,(3/4 a × b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,4.0725,(b × 3/4 a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.0725,3.839589821842953,(3/4 a × b/2),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,4.0725,(b/2 × 3/4 a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.258,7.679179643685906,(3/5 a × b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,3.258,(b × 3/5 a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.258,3.839589821842953,(3/5 a × b/2),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,3.258,(b/2 × 3/5 a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
21.72,7.679179643685906,(4a × b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,21.72,(b × 4a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
21.72,3.839589821842953,(4a × b/2),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,21.72,(b/2 × 4a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.239999999999999,7.679179643685906,(4/3 a × b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,7.239999999999999,(b × 4/3 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.239999999999999,3.839589821842953,(4/3 a × b/2),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,7.239999999999999,(b/2 × 4/3 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.343999999999999,7.679179643685906,(4/5 a × b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,4.343999999999999,(b × 4/5 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.343999999999999,3.839589821842953,(4/5 a × b/2),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,4.343999999999999,(b/2 × 4/5 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
9.405035885099002,13.300729303312655,(√3a × √3b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
13.300729303312655,9.405035885099002,(√3b × √3a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
9.405035885099002,6.650364651656328,(√3a × √3/2 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
6.650364651656328,9.405035885099002,(√3/2 b × √3a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
9.405035885099002,4.433576434437552,(√3a × √3/3 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.433576434437552,9.405035885099002,(√3/3 b × √3a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
9.405035885099002,3.325182325828164,(√3a × √3/4 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.325182325828164,9.405035885099002,(√3/4 b × √3a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.702517942549501,13.300729303312655,(√3/2 a × √3b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
13.300729303312655,4.702517942549501,(√3b × √3/2 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.702517942549501,6.650364651656328,(√3/2 a × √3/2 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
6.650364651656328,4.702517942549501,(√3/2 b × √3/2 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.702517942549501,4.433576434437552,(√3/2 a × √3/3 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
