name,a,elements,crystal_system,point_group,formula,plane,num_elements
Lu2ZnRu (111),9.549471489215916,"Lu, Ru, Zn",Cubic,m-3m,Lu2ZnRu,(111),3
Lu3(SiNi3)2 (111),12.192305645171794,"Lu, Ni, Si",Cubic,m-3m,Lu3(SiNi3)2,(111),3
Lu3AlC (111),6.673321798368917,"Al, C, Lu",Cubic,m-3m,Lu3AlC,(111),3
Lu3AlN (111),6.509829339036713,"Al, Lu, N",Cubic,m-3m,Lu3AlN,(111),3
Lu3Ga5Co (0001),4.10708209,"Co, Ga, Lu",Hexagonal,-6m2,Lu3Ga5Co,(0001),3
Lu3Ga5Ni (0001),4.12862609,"Ga, Lu, Ni",Hexagonal,-6m2,Lu3Ga5Ni,(0001),3
Lu3GaC (111),6.626644680365208,"C, Ga, Lu",Cubic,m-3m,Lu3GaC,(111),3
Lu3InC (111),6.722452275204449,"C, In, Lu",Cubic,m-3m,Lu3InC,(111),3
Lu3InN (111),6.573638372128275,"In, Lu, N",Cubic,m-3m,Lu3InN,(111),3
Lu3Ni7B2 (0001),14.07120286009318,"B, Lu, Ni",Hexagonal,6/mmm,Lu3Ni7B2,(0001),3
Lu3PbC (111),6.7199120648037125,"C, Lu, Pb",Cubic,m-3m,Lu3PbC,(111),3
Lu3Sb4Au3 (111),13.822030137512618,"Au, Lu, Sb",Cubic,-43m,Lu3Sb4Au3,(111),3
Lu3Sb5O12 (111),14.978261108212795,"Lu, O, Sb",Cubic,-43m,Lu3Sb5O12,(111),3
Lu3SnC (111),6.686712298340427,"C, Lu, Sn",Cubic,m-3m,Lu3SnC,(111),3
Lu3TlC (111),6.711961257161101,"C, Lu, Tl",Cubic,m-3m,Lu3TlC,(111),3
Lu4Ga12Ni (111),11.869615909942391,"Ga, Lu, Ni",Cubic,m-3m,Lu4Ga12Ni,(111),3
Lu4Ga12Pd (111),11.955258109411027,"Ga, Lu, Pd",Cubic,m-3m,Lu4Ga12Pd,(111),3
Lu4Ge6Os7 (111),11.665661141246783,"Ge, Lu, Os",Cubic,m-3m,Lu4Ge6Os7,(111),3
Lu4Ge6Rh7 (111),11.663111905338882,"Ge, Lu, Rh",Cubic,m-3m,Lu4Ge6Rh7,(111),3
Lu4Ge6Ru7 (111),11.638757580926637,"Ge, Lu, Ru",Cubic,m-3m,Lu4Ge6Ru7,(111),3
Lu5Co19P12 (0001),3.628347130000525,"Co, Lu, P",Hexagonal,-6m2,Lu5Co19P12,(0001),3
Lu5Ge3 (0001),6.203928970000013,"Ge, Lu",Hexagonal,6/mmm,Lu5Ge3,(0001),2
Lu5Ge3C (0001),6.27731558,"C, Ge, Lu",Hexagonal,6/mmm,Lu5Ge3C,(0001),3
Lu5In4 (0001),6.50686755,"In, Lu",Hexagonal,6/mmm,Lu5In4,(0001),2
Lu5Ir3 (0001),6.082548,"Ir, Lu",Hexagonal,6/mmm,Lu5Ir3,(0001),2
Lu5NiPb3 (0001),6.541042240001292,"Lu, Ni, Pb",Hexagonal,6/mmm,Lu5NiPb3,(0001),3
Lu5Pb3 (0001),6.502588,"Lu, Pb",Hexagonal,6/mmm,Lu5Pb3,(0001),2
Lu5Rh3 (0001),6.088147190136618,"Lu, Rh",Hexagonal,6/mmm,Lu5Rh3,(0001),2
Lu5Si3 (0001),6.15490231,"Lu, Si",Hexagonal,6/mmm,Lu5Si3,(0001),2
