0
AcSnHg2 (001)
AcSnHg2 (110)
AcSnPd2 (001)
AcSnPd2 (110)
AcTe3 (001)
AcTe3 (100)
AcTe3 (011)
AcTe3 (110)
AcTiO3 (001)
AcTiO3 (110)
AcTlAg2 (001)
AcTlAg2 (110)
AcTlAu2 (001)
AcTlAu2 (110)
AcTlHg2 (001)
AcTlHg2 (110)
AcTlRh2 (001)
AcTlRh2 (110)
AcTlTe2 (001)
AcTlTe2 (110)
AcVO3 (001)
AcVO3 (110)
AcZn3 (11-20)
AcZn3 (1-102)
AcZn3 (1-100)
AcZn3 (0001)
Ag (11-20)
Ag (1-102)
Ag (1-100)
Ag(AuF4)2 (001)
Ag(AuF4)2 (100)
Ag(AuF4)2 (110)
Ag(AuF4)2 (1-10)
Ag(BCl)6 (001)
Ag(TeMo)6 (100)
Ag10Te4Br3 (001)
Ag10Te4Br3 (010)
Ag10Te4Br3 (100)
Ag2B8O13 (001)
Ag2BiO3 (001)
Ag2BiO3 (010)
Ag2BiO3 (100)
Ag2BiO3 (011)
Ag2BiO3 (101)
Ag2BiO3 (110)
Ag2CO3 (001)
Ag2CO3 (100)
Ag2CO3 (110)
Ag2CO3 (1-10)
Ag2GeS3 (001)
Ag2GeS3 (010)
Ag2GeS3 (100)
Ag2GeS3 (011)
Ag2GeS3 (101)
Ag2GeS3 (110)
Ag2HgI4 (001)
Ag2HgI4 (100)
Ag2HgI4 (011)
Ag2HgI4 (110)
Ag2HgO2 (001)
Ag2HgO2 (100)
Ag2HgO2 (011)
Ag2HgO2 (110)
Ag2O (001)
Ag2O (110)
Ag2PSe3 (001)
Ag2PSe3 (010)
Ag2PSe3 (100)
Ag2PSe3 (101)
Ag2PSe3 (110)
Ag2SO4 (001)
Ag2SO4 (010)
Ag2SO4 (100)
Ag2SO4 (101)
Ag2SO4 (110)
Ag2Se (001)
Ag2Se (010)
Ag2Se (100)
Ag2Se (011)
Ag2Se (101)
Ag2Se (110)
Ag2SeO3 (001)
Ag2SeO3 (100)
Ag2SeO3 (110)
Ag2SeO3 (1-10)
Ag2SeO4 (001)
Ag2SeO4 (010)
Ag2SeO4 (100)
Ag2SeO4 (101)
Ag2SeO4 (110)
Ag2Te (001)
Ag2Te (100)
Ag2Te (110)
Ag2Te (1-10)
Ag2TeO4 (001)
Ag2TeO4 (100)
Ag2TeO4 (1-10)
Ag2TeS3 (001)
Ag2TeS3 (100)
Ag2TeS3 (110)
Ag2TeS3 (1-10)
Ag3AsS3 (001)
Ag3AsS4 (001)
Ag3AsS4 (010)
Ag3AsS4 (100)
Ag3AsS4 (011)
Ag3AsS4 (101)
Ag3AsS4 (110)
Ag3AsSe3 (001)
Ag3Au (001)
Ag3Au (110)
Ag3AuSe2 (001)
Ag3AuSe2 (110)
Ag3F8 (001)
Ag3F8 (100)
Ag3F8 (110)
Ag3F8 (1-10)
Ag3Ge5P6 (001)
Ag3Ge5P6 (110)
Ag3O4 (001)
Ag3O4 (100)
Ag3O4 (110)
Ag3O4 (1-10)
Ag3P11 (001)
Ag3P11 (100)
Ag3P11 (1-10)
Ag3PS4 (001)
Ag3PS4 (010)
Ag3PS4 (100)
Ag3PS4 (011)
Ag3PS4 (101)
Ag3PS4 (110)
Ag3Pd (001)
Ag3Pd (100)
Ag3Pd (011)
Ag3Pd (110)
Ag3Sb4F24 (001)
Ag3SbS3 (001)
Ag3SbS3 (100)
Ag3SbS3 (110)
Ag3SnP7 (001)
Ag3SnP7 (100)
Ag3SnP7 (110)
Ag3SnP7 (1-10)
Ag3Te2Au (001)
Ag3Te2Au (110)
Ag4TeO5 (100)
Ag5BiO4 (001)
Ag5BiO4 (100)
Ag5BiO4 (1-10)
Ag5Te2Cl (001)
Ag5Te2Cl (010)
Ag5Te2Cl (100)
Ag5Te2Cl (101)
Ag5Te2Cl (110)
Ag7AsSe6 (001)
Ag7AsSe6 (110)
Ag7NO11 (001)
Ag7NO11 (010)
Ag7NO11 (100)
Ag7NO11 (011)
Ag7NO11 (101)
Ag7NO11 (110)
Ag7PSe6 (001)
Ag7PSe6 (110)
Ag8GeS6 (001)
Ag8GeS6 (010)
Ag8GeS6 (100)
Ag8GeS6 (110)
Ag8GeSe6 (001)
Ag8GeSe6 (010)
Ag8GeSe6 (100)
Ag8GeSe6 (011)
Ag8GeSe6 (101)
Ag8GeSe6 (110)
Ag8SnS6 (001)
Ag8SnS6 (010)
Ag8SnS6 (100)
Ag8SnS6 (110)
Ag8SnSe6 (001)
Ag8SnSe6 (010)
Ag8SnSe6 (100)
Ag8SnSe6 (011)
Ag8SnSe6 (101)
Ag8SnSe6 (110)
AgAsF6 (001)
AgAsF6 (110)
AgAsF7 (001)
AgAsF7 (010)
AgAsF7 (100)
AgAsF7 (011)
AgAsF7 (101)
AgAsF7 (110)
AgAu3 (001)
AgAu3 (110)
AgAuCl4 (001)
AgAuCl4 (100)
AgAuF4 (001)
AgAuF4 (100)
AgAuF4 (011)
AgAuF4 (110)
AgAuF7 (001)
AgAuF7 (010)
AgAuF7 (100)
AgAuF7 (011)
AgAuF7 (101)
AgAuF7 (110)
AgAuO2 (001)
AgAuO2 (100)
AgAuO2 (110)
AgAuO2 (1-10)
AgBF4 (001)
AgBF4 (010)
AgBF4 (100)
AgBF4 (011)
AgBF4 (101)
AgBF4 (110)
AgBF5 (001)
AgBF5 (100)
AgBF5 (011)
AgBF5 (110)
AgBi3S5 (001)
AgBr (001)
AgBr (110)
AgCl (001)
AgCl (110)
AgClO4 (001)
AgClO4 (100)
AgClO4 (011)
AgClO4 (110)
AgF (001)
AgF (110)
AgF2 (001)
AgF2 (010)
AgF2 (100)
AgF2 (011)
AgF2 (101)
AgF2 (110)
AgF3 (11-20)
AgF3 (1-102)
AgHO2 (001)
AgHO2 (100)
AgHO2 (110)
AgHO2 (1-10)
AgHgPd2 (001)
AgHgPd2 (110)
AgI (11-20)
AgI (1-102)
AgI3O8 (001)
AgIO3 (001)
AgIO3 (010)
AgIO3 (100)
AgIO3 (110)
AgIrF7 (001)
AgIrF7 (010)
AgIrF7 (100)
AgIrF7 (011)
AgIrF7 (101)
AgIrF7 (110)
AgO (001)
AgO (100)
AgO (011)
AgO (110)
AgPF6 (001)
AgPF6 (110)
AgPO3 (001)
AgPO3 (100)
AgPO3 (1-10)
AgPdAu2 (001)
AgPdAu2 (110)
AgPdO2 (001)
AgPdO2 (100)
AgPdO2 (110)
AgPdO2 (1-10)
AgPt (11-20)
AgPt (1-102)
AgPt (1-100)
AgPt (0001)
AgRuF7 (001)
AgRuF7 (100)
AgRuF7 (1-10)
AgRuO4 (001)
AgRuO4 (100)
AgRuO4 (011)
AgRuO4 (110)
AgSO4 (001)
AgSO4 (100)
AgSO4 (1-10)
AgSbF6 (001)
AgSbF6 (110)
AgSbO3 (001)
AgSbO3 (110)
AgSbS2 (001)
AgSbS2 (100)
AgTe4Au (001)
AgTe4Au (100)
AgTe4Au (110)
AgTe4Au (1-10)
AgTeO3 (001)
AgTeO3 (100)
AgTeO3 (1-10)
AgW3Br7 (001)
AgW3Br7 (100)
AgW3Br7 (1-10)
Al (001)
Al (110)
Al(Ag3Se2)3 (001)
Al(Ag3Se2)3 (110)
Al(BH4)3 (001)
Al(CrB)2 (001)
Al(CrB)2 (010)
Al(CrB)2 (100)
Al(CrB)2 (011)
Al(CrB)2 (101)
Al(CrB)2 (110)
Al(FeB)2 (001)
Al(FeB)2 (010)
Al(FeB)2 (100)
Al(FeB)2 (011)
Al(FeB)2 (101)
Al(FeB)2 (110)
Al(ICl2)3 (100)
Al(IO3)3 (11-20)
Al(IO3)3 (1-102)
Al(IO3)3 (0001)
Al(Ni3B2)4 (001)
Al(Ni3B2)4 (010)
Al(Ni3B2)4 (100)
Al(PO3)3 (001)
Al(PO3)3 (100)
Al(PO3)3 (110)
Al(PO3)3 (1-10)
Al(SeCl)4 (001)
Al(SeCl)4 (010)
Al(SeCl)4 (100)
Al(SeCl2)2 (001)
Al(SeCl2)2 (010)
Al(SeCl2)2 (100)
Al(TeCl2)2 (001)
Al(TeCl2)2 (010)
Al(TeCl2)2 (100)
Al(VS2)4 (001)
Al(VS2)4 (010)
Al(VS2)4 (100)
Al(VS2)4 (011)
Al(VS2)4 (101)
Al(VS2)4 (110)
Al11TlO17 (001)
Al12Re (001)
Al12Re (110)
Al12Tc (001)
Al12Tc (110)
Al13Fe4 (001)
Al13Fe4 (100)
Al13Os4 (100)
Al13Ru4 (001)
Al13Ru4 (100)
Al2(MoO4)3 (001)
Al2(MoO4)3 (010)
Al2(MoO4)3 (100)
Al2(MoO4)3 (011)
Al2(MoO4)3 (101)
Al2(MoO4)3 (110)
Al2(Ni7B2)3 (001)
Al2(Ni7B2)3 (110)
Al21Pd8 (001)
Al21Pd8 (100)
Al21Pt8 (001)
Al21Pt8 (100)
Al2Au (001)
Al2Au (110)
Al2BiS4 (001)
Al2BiS4 (100)
Al2BiS4 (011)
Al2BiS4 (110)
Al2BiSe4 (001)
Al2BiSe4 (100)
Al2BiSe4 (011)
Al2BiSe4 (110)
Al2CdBr8 (001)
Al2CdBr8 (100)
Al2CdBr8 (1-10)
Al2CdCl8 (001)
Al2CdCl8 (100)
Al2CdCl8 (1-10)
Al2CdS4 (001)
Al2CdS4 (100)
Al2CdS4 (011)
Al2CdS4 (110)
Al2CdSe4 (001)
Al2CdSe4 (100)
Al2CdSe4 (011)
Al2CdSe4 (110)
Al2CdTe4 (001)
Al2CdTe4 (100)
Al2CdTe4 (011)
Al2CdTe4 (110)
Al2CoIr (001)
Al2CoIr (110)
Al2CoNi (001)
Al2CoNi (100)
Al2CoNi (011)
Al2CoNi (110)
Al2CoOs (001)
